B 10000


 W  1000	 B  9000
 	2021-08-25 19:04:13.171081
 D  0	 B  10000
 	2021-08-25 19:04:13.171081
 W  1000	 B  9000
 	2021-08-25 19:04:13.171081
 D  0	 B  10000
 	2021-08-25 19:04:13.171081
 W  1000	 B  9000
 	2021-08-25 19:08:30.728510
 D  0	 B  10000
 	2021-08-25 19:08:30.728510
 W  1000	 B  9000
 	2021-08-25 19:13:08.965799
 W  2000	 B  8000
 	2021-08-25 19:13:08.965799
 W  3000	 B  7000
 	2021-08-25 19:13:08.965799
 W  1000	 B  6000
 	2021-08-25 22:37:44.107953
 W  1000	 B  5000
 	2021-08-25 22:38:14.853074
 W  1000	 B  4000
 	2021-08-25 22:38:14.853074
 W  1000	 B  3000
 	2021-08-25 22:38:14.853074
 W  1000	 B  2000
 	2021-08-25 22:38:14.853074
 W  1000	 B  1000
 	2021-08-25 22:45:42.006349
 D  1000	 B  2000
 	2021-08-25 22:45:42.006349
